Type,Md1,Md2,Md3,Md4,Mc1,Mc2,Mc3,Md5,Md6,Mc4,Mc5
A100-3-475,1,1,1,1,1,1,1,1,1,1,0
A100-3-476,1,1,1,1,1,1,0,1,1,0,0
A100-3-477,1,1,1,1,1,1,1,1,1,1,1
A100-3-478,1,1,1,1,1,1,0,1,1,0,1
A100-3-479,1,1,0,1,1,1,0,1,1,0,0
A100-3-48,1,1,0,1,1,1,1,1,1,1,1
A100-3-480,1,1,0,1,1,1,1,1,1,0,1
A100-3-481,1,1,1,1,1,1,0,1,1,0,1
A100-3-482,1,1,1,1,1,1,1,1,1,0,1
A100-3-483,1,1,0,1,1,1,1,1,1,0,0
A100-3-484,1,1,0,1,1,1,1,1,1,0,0
A100-3-485,1,1,0,1,1,1,0,1,1,1,1
A100-3-486,1,1,0,1,1,1,0,1,1,1,1
A100-3-487,1,1,0,1,1,1,0,1,1,1,1
A100-3-488,1,1,1,1,1,1,1,1,1,0,1
A100-3-489,1,1,0,1,1,1,0,1,1,1,1
A100-3-49,1,1,1,1,1,1,0,1,1,1,0
A100-3-490,1,1,0,1,1,1,0,1,1,1,0
A100-3-491,1,1,1,1,1,1,1,1,1,1,1
A100-3-492,1,1,1,1,1,1,0,1,1,0,1
A100-3-493,1,1,1,1,1,1,0,1,1,0,1
A100-3-494,1,1,1,1,1,1,1,1,1,0,0
A100-3-495,1,1,1,1,1,1,1,1,1,1,0
A100-3-496,1,1,0,1,1,1,0,1,1,1,0
A100-3-497,1,1,0,1,1,1,0,1,1,1,0
A100-3-498,1,1,1,1,1,1,1,1,1,1,0
A100-3-499,1,1,0,1,1,1,0,1,1,0,1
A100-3-5,1,1,1,1,1,1,0,1,1,0,0
A100-3-50,1,1,1,1,1,1,0,1,1,0,1
A100-3-500,1,1,1,1,1,1,1,1,1,1,1
A100-3-501,1,1,0,1,1,1,1,1,1,0,1
A100-3-502,1,1,1,1,1,1,0,1,1,1,0
A100-3-503,1,1,0,1,1,1,1,1,1,1,0
A100-3-504,1,1,0,1,1,1,0,1,1,1,0
A100-3-505,1,1,1,1,1,1,0,1,1,0,1
A100-3-506,1,1,0,1,1,1,1,1,1,1,1
A100-3-507,1,1,1,1,1,1,1,1,1,1,0
A100-3-508,1,1,1,1,1,1,0,1,1,0,0
A100-3-509,1,1,0,1,1,1,0,1,1,0,1
A100-3-51,1,1,1,1,1,1,1,1,1,0,1
A100-3-510,1,1,0,1,1,1,1,1,1,0,0
A100-3-511,1,1,1,1,1,1,0,1,1,0,1
A100-3-512,1,1,0,1,1,1,0,1,1,0,1
A100-3-513,1,1,0,1,1,1,1,1,1,1,0
A100-3-514,1,1,1,1,1,1,1,1,1,0,0
A100-3-515,1,1,1,1,1,1,0,1,1,0,0
A100-3-516,1,1,0,1,1,1,0,1,1,1,0
A100-3-517,1,1,0,1,1,1,0,1,1,1,1
A100-3-518,1,1,0,1,1,1,1,1,1,0,1
A100-3-519,1,1,1,1,1,1,1,1,1,0,1
A100-3-52,1,1,0,1,1,1,0,1,1,0,1
A100-3-520,1,1,1,1,1,1,1,1,1,1,0
A100-3-521,1,1,0,1,1,1,1,1,1,0,0
A100-3-522,1,1,0,1,1,1,1,1,1,1,0
